epoch,train_loss,val_acc
1,0.6975942174593608,0.35
2,0.5051508724689484,0.65
3,0.24515007353491253,0.5
4,0.0810740740555856,0.6
5,0.05361152247836192,0.5
6,0.017116075340244504,0.55
7,0.006934219433201684,0.5
8,0.004384097759611905,0.5
9,0.003161247676083197,0.55
10,0.002558621362550184,0.5
